Date,Close
1/4/2016,140.5
1/5/2016,141.07
1/6/2016,138.83
1/7/2016,133.01
1/8/2016,129.99
1/11/2016,130.21
1/12/2016,131.92
1/13/2016,128.12
1/14/2016,129.2
1/15/2016,125.63
1/19/2016,126.06
1/20/2016,122.14
1/21/2016,123.4
1/22/2016,124.61
1/25/2016,124.01
1/26/2016,128.01
1/27/2016,116.58
1/28/2016,118.01
1/29/2016,120.13
2/1/2016,121.56
2/2/2016,117.52
2/3/2016,121.87
2/4/2016,123.61
2/5/2016,122.56
2/8/2016,119.47
2/9/2016,118.88
2/10/2016,116.36
2/11/2016,108.44
2/12/2016,108.63
2/16/2016,112.6
2/17/2016,116.34
2/18/2016,117.57
2/19/2016,115.16
2/22/2016,117.39
2/23/2016,116.9
2/24/2016,115.59
2/25/2016,116.82
2/26/2016,118.16
2/29/2016,118.18
3/1/2016,119.96
3/2/2016,119.65
3/3/2016,119.61
3/4/2016,121.07
3/7/2016,122.9
3/8/2016,122.35
3/9/2016,122.86
3/10/2016,122.94
3/11/2016,124.63
3/14/2016,126.34
3/15/2016,126.36
3/16/2016,127.57
3/17/2016,130.7
3/18/2016,133.96
3/21/2016,135.86
3/22/2016,135.12
3/23/2016,132.86
3/24/2016,132.12
3/28/2016,131.29
3/29/2016,130.88
3/30/2016,128.58
3/31/2016,126.94
4/1/2016,126.96
4/4/2016,126.34
4/5/2016,127.03
4/6/2016,127.93
4/7/2016,127
4/8/2016,127.88
4/11/2016,127.91
4/12/2016,129.47
4/13/2016,131.14
4/14/2016,130.85
4/15/2016,131.13
4/18/2016,131.97
4/19/2016,132.68
4/20/2016,130.57
4/21/2016,130.74
4/22/2016,131.05
4/25/2016,130.75
4/26/2016,133.24
4/27/2016,137.08
4/28/2016,134.8
4/29/2016,134.8
5/2/2016,134.01
5/3/2016,132.49
5/4/2016,130.89
5/5/2016,132.08
5/6/2016,133.26
5/9/2016,132.1
5/10/2016,134.72
5/11/2016,133
5/12/2016,134.42
5/13/2016,132.12
5/16/2016,134.14
5/17/2016,132.56
5/18/2016,130.99
5/19/2016,128.08
5/20/2016,127.39
5/23/2016,127.58
5/24/2016,127.5
5/25/2016,128.86
5/26/2016,129.31
5/27/2016,129.22
5/31/2016,126.15
6/1/2016,126.41
6/2/2016,126.85
6/3/2016,127.38
6/6/2016,131.9
6/7/2016,131.93
6/8/2016,133
6/9/2016,133.1
6/10/2016,131.14
6/13/2016,129.92
6/14/2016,130.5
6/15/2016,130.16
6/16/2016,129.37
6/17/2016,129.82
6/20/2016,132.75
6/21/2016,131.52
6/22/2016,131.77
6/23/2016,133.55
6/24/2016,126.52
6/27/2016,122.7
6/28/2016,123.89
6/29/2016,126.99
6/30/2016,129.87
7/1/2016,129.69
7/5/2016,126.97
7/6/2016,126.96
7/7/2016,127.17
7/8/2016,130.09
7/11/2016,132.04
7/12/2016,130.81
7/13/2016,130.11
7/14/2016,131.55
7/15/2016,132.39
7/18/2016,133.43
7/19/2016,134.66
7/20/2016,134.72
7/21/2016,133.53
7/22/2016,133.47
7/25/2016,132.94
7/26/2016,134.85
7/27/2016,135.96
7/28/2016,133.01
7/29/2016,133.66
8/1/2016,133.21
8/2/2016,131.6
8/3/2016,131.87
8/4/2016,131.21
8/5/2016,131.73
8/8/2016,132.19
8/9/2016,132.62
8/10/2016,132.28
8/11/2016,133
8/12/2016,133.1
8/15/2016,134.66
8/16/2016,135
8/17/2016,134.72
8/18/2016,135
8/19/2016,134.44
8/22/2016,134.99
8/23/2016,134.14
8/24/2016,133.29
8/25/2016,132.98
8/26/2016,132.23
8/29/2016,132.9
8/30/2016,130.81
8/31/2016,129.45
9/1/2016,129.9
9/2/2016,131.16
9/6/2016,132.99
9/7/2016,132.64
9/8/2016,132.9
9/9/2016,128.53
9/12/2016,130.12
9/13/2016,128.76
9/14/2016,127.67
9/15/2016,127.77
9/16/2016,126.7
9/19/2016,127.48
9/20/2016,127.79
9/21/2016,130.56
9/22/2016,131.87
9/23/2016,131.78
9/26/2016,130.57
9/27/2016,131.32
9/28/2016,132.23
9/29/2016,131.03
9/30/2016,131.74
10/3/2016,132.38
10/4/2016,132.25
10/5/2016,134.66
10/6/2016,134.42
10/7/2016,133.85
10/10/2016,135.84
10/11/2016,133.74
10/12/2016,133.16
10/13/2016,133.38
10/14/2016,133.5
10/17/2016,134
10/18/2016,135.1
10/19/2016,136.18
10/20/2016,135.84
10/21/2016,135.63
10/24/2016,137.45
10/25/2016,139.02
10/26/2016,145.54
10/27/2016,143.31
10/28/2016,143.01
10/31/2016,142.43
11/1/2016,142.41
11/2/2016,140.75
11/3/2016,140.02
11/4/2016,139.54
11/7/2016,143.03
11/8/2016,142.2
11/9/2016,145.09
11/10/2016,147.69
11/11/2016,148.52
11/14/2016,149.99
11/15/2016,148.11
11/16/2016,146.44
11/17/2016,145.33
11/18/2016,146.35
11/21/2016,147.02
11/22/2016,149.52
11/23/2016,149.74
11/25/2016,150.04
11/28/2016,149.77
11/29/2016,151.64
11/30/2016,150.56
12/1/2016,152.39
12/2/2016,152.25
12/5/2016,152.16
12/6/2016,152.24
12/7/2016,154.14
12/8/2016,155.39
12/9/2016,156.49
12/12/2016,157.16
12/13/2016,156.66
12/14/2016,154.47
12/15/2016,153.77
12/16/2016,154.5
12/19/2016,156.18
12/20/2016,156.39
12/21/2016,157.48
12/22/2016,157.46
12/23/2016,157.81
12/27/2016,157.48
12/28/2016,156.1
12/29/2016,155.69
12/30/2016,155.68
1/3/2017,156.97
1/4/2017,158.62
1/5/2017,158.71
1/6/2017,159.1
1/9/2017,158.32
1/10/2017,159.07
1/11/2017,159.4
1/12/2017,158.29
1/13/2017,158.83
1/17/2017,157.67
1/18/2017,158.32
1/19/2017,159
1/20/2017,159.53
1/23/2017,157.84
1/24/2017,160.55
1/25/2017,167.36
1/26/2017,169.12
1/27/2017,167.7
1/30/2017,165.57
1/31/2017,163.42
2/1/2017,163.97
2/2/2017,162.26
2/3/2017,162.4
2/6/2017,163.98
2/7/2017,166.5
2/8/2017,163.81
2/9/2017,164.28
2/10/2017,166.23
2/13/2017,168.03
2/14/2017,168.5
2/15/2017,169.3
2/16/2017,170.81
2/17/2017,172.71
2/21/2017,175.56
2/22/2017,175.36
2/23/2017,176.86
2/24/2017,177.44
2/27/2017,179.43
2/28/2017,180.23
